run_name,source,target,seed,true_class,pred_class,count
AT1_to_FR1_seed1,AT1,FR1,1,spring_barley,corn,21
AT1_to_FR1_seed1,AT1,FR1,1,spring_barley,horsebeans,3
AT1_to_FR1_seed1,AT1,FR1,1,spring_barley,meadow,7
AT1_to_FR1_seed1,AT1,FR1,1,spring_barley,spring_barley,1
AT1_to_FR1_seed1,AT1,FR1,1,spring_barley,spring_oat,7
AT1_to_FR1_seed1,AT1,FR1,1,spring_barley,winter_barley,7
AT1_to_FR1_seed1,AT1,FR1,1,spring_barley,winter_rapeseed,0
AT1_to_FR1_seed1,AT1,FR1,1,spring_barley,winter_rye,3
AT1_to_FR1_seed1,AT1,FR1,1,spring_barley,winter_triticale,0
AT1_to_FR1_seed1,AT1,FR1,1,spring_barley,winter_wheat,11
AT1_to_FR1_seed1,AT1,FR1,1,spring_oat,corn,0
AT1_to_FR1_seed1,AT1,FR1,1,spring_oat,horsebeans,0
AT1_to_FR1_seed1,AT1,FR1,1,spring_oat,meadow,2
AT1_to_FR1_seed1,AT1,FR1,1,spring_oat,spring_barley,1
AT1_to_FR1_seed1,AT1,FR1,1,spring_oat,spring_oat,2
AT1_to_FR1_seed1,AT1,FR1,1,spring_oat,winter_barley,0
AT1_to_FR1_seed1,AT1,FR1,1,spring_oat,winter_rapeseed,0
AT1_to_FR1_seed1,AT1,FR1,1,spring_oat,winter_rye,0
AT1_to_FR1_seed1,AT1,FR1,1,spring_oat,winter_triticale,0
AT1_to_FR1_seed1,AT1,FR1,1,spring_oat,winter_wheat,2
AT1_to_FR1_seed1,AT1,FR1,1,winter_barley,corn,298
AT1_to_FR1_seed1,AT1,FR1,1,winter_barley,horsebeans,3
AT1_to_FR1_seed1,AT1,FR1,1,winter_barley,meadow,89
AT1_to_FR1_seed1,AT1,FR1,1,winter_barley,spring_barley,11
AT1_to_FR1_seed1,AT1,FR1,1,winter_barley,spring_oat,21
AT1_to_FR1_seed1,AT1,FR1,1,winter_barley,winter_barley,207
AT1_to_FR1_seed1,AT1,FR1,1,winter_barley,winter_rapeseed,6
AT1_to_FR1_seed1,AT1,FR1,1,winter_barley,winter_rye,40
AT1_to_FR1_seed1,AT1,FR1,1,winter_barley,winter_triticale,32
AT1_to_FR1_seed1,AT1,FR1,1,winter_barley,winter_wheat,76
AT1_to_FR1_seed1,AT1,FR1,1,winter_rapeseed,corn,54
AT1_to_FR1_seed1,AT1,FR1,1,winter_rapeseed,horsebeans,13
AT1_to_FR1_seed1,AT1,FR1,1,winter_rapeseed,meadow,64
AT1_to_FR1_seed1,AT1,FR1,1,winter_rapeseed,spring_barley,8
AT1_to_FR1_seed1,AT1,FR1,1,winter_rapeseed,spring_oat,25
